index,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
21,0.47727507,0.33678025,0.47721294,0.3940438,0.56721264,0.32740813,0.5507331,0.41320264,0.5634161,0.3403289,0.5809162,0.39833468,0.61414653,0.35194114,0.6095044,0.3861568,0.71752465,0.3253111,0.72626185,0.41550526,0.82798344,0.303569,0.828941,0.4350383
22,0.48769268,0.3580601,0.48345014,0.41802454,0.5758018,0.35234955,0.5663721,0.43239734,0.570207,0.36788574,0.57464737,0.41485006,0.61877424,0.37472767,0.6137247,0.41006428,0.7319685,0.34095854,0.7343266,0.43185875,0.83275706,0.30932426,0.8468368,0.4449622
23,0.48657665,0.37481445,0.48242247,0.4325843,0.56817627,0.36938515,0.56548077,0.44754824,0.5738269,0.37925482,0.5778444,0.4388783,0.62332743,0.39140692,0.6224247,0.4260438,0.7348241,0.36134967,0.74230033,0.43941686,0.8397322,0.33008415,0.8633534,0.44689733
24,0.45738503,0.38561457,0.4551692,0.44257307,0.5398928,0.37695387,0.5328215,0.46014133,0.5481754,0.38777086,0.553394,0.44475615,0.60162014,0.3966912,0.5997622,0.4329808,0.71174717,0.3775498,0.7220854,0.4477544,0.8324741,0.35797802,0.8468951,0.45253676
25,0.4554597,0.3912578,0.4558539,0.44994673,0.5307372,0.37815797,0.53581434,0.46585673,0.5561737,0.39260283,0.5633097,0.4503552,0.59831923,0.40039682,0.5991202,0.43571627,0.7157774,0.38525513,0.7157574,0.45802572,0.82349414,0.36604974,0.8342953,0.4672743
26,0.48790962,0.39458242,0.4823242,0.45326623,0.55727464,0.38373756,0.5548677,0.46417895,0.5803967,0.39492437,0.5911511,0.45521736,0.61770713,0.40347028,0.61416507,0.4382636,0.73722154,0.3900853,0.7340016,0.46948585,0.8525667,0.36374226,0.85031086,0.4885274
27,0.5155915,0.4003713,0.5249418,0.44967094,0.5889987,0.3903844,0.58764714,0.459706,0.6238634,0.39748654,0.6236447,0.45297322,0.6557925,0.40215728,0.657572,0.43495765,0.72649133,0.40020752,0.74253887,0.47052276,0.8137022,0.3644164,0.8625062,0.49314126
28,0.49777836,0.40130547,0.519414,0.4352413,0.56634486,0.40932447,0.6191745,0.44523275,0.56600946,0.4305446,0.58285624,0.4608209,0.63709205,0.37589774,0.64453816,0.39989972,0.7291834,0.3969058,0.7414612,0.44930077,0.83414525,0.36379308,0.857088,0.48718882
29,0.49484864,0.39467233,0.5146602,0.41298154,0.5683088,0.419334,0.5987506,0.42697778,0.55746174,0.46061304,0.5977042,0.45757446,0.6242661,0.35545763,0.6284683,0.3688871,0.714552,0.38814548,0.71532154,0.42332658,0.83507055,0.36215606,0.8491453,0.41923538
30,0.5039314,0.39633998,0.5103426,0.38831162,0.53948706,0.42335322,0.5928539,0.38830605,0.5545422,0.45525265,0.60157,0.42650464,0.6187701,0.33691186,0.6182005,0.33426112,0.7272726,0.36560252,0.743305,0.3766596,0.82265437,0.3351766,0.8439689,0.3260627
